src_ip,dst_ip,src_port,dst_port,frame_length,label
192.168086037,20.189173023,51473,443,127,0
192.168086037,20.189173023,51473,443,78,0
192.168086037,20.189173023,51473,443,706,0
192.168086037,20.189173023,51473,443,1315,0
20.189173023,192.168086037,443,51473,40,0
20.189173023,192.168086037,443,51473,78,0
20.189173023,192.168086037,443,51473,325,0
192.168086037,20.189173023,51473,443,119,0
192.168086037,20.189173023,51473,443,1480,0
192.168086037,20.189173023,51473,443,168,0
20.189173023,192.168086037,443,51473,146,0
192.168086037,20.010031115,49409,443,141,0
20.010031115,192.168086037,443,49409,211,0
192.168086037,20.010031115,49409,443,40,0
192.168086001,239.255255250,48050,1900,466,0
192.168086024,239.255255250,1900,1900,333,0
192.168086024,239.255255250,1900,1900,342,0
192.168086024,239.255255250,1900,1900,336,0
192.168086037,192.168086001,55171,53,69,0
192.168086001,192.168086037,53,55171,213,0
192.168086037,23.200156215,51474,80,52,0
23.200156215,192.168086037,80,51474,52,0
192.168086037,23.200156215,51474,80,40,0
192.168086037,23.200156215,51474,80,194,0
23.200156215,192.168086037,80,51474,40,0
23.200156215,192.168086037,80,51474,227,0
192.168086037,20.010031115,49409,443,138,0
192.168086037,20.010031115,49409,443,140,0
192.168086037,192.168086001,58079,53,76,0
192.168086001,192.168086037,53,58079,194,0
192.168086037,20.189173001,51475,443,52,0
20.189173001,192.168086037,443,51475,52,0
192.168086037,20.189173001,51475,443,40,0
192.168086037,20.189173001,51475,443,427,0
20.189173001,192.168086037,443,51475,139,0
192.168086037,20.189173001,51475,443,498,0
20.189173001,192.168086037,443,51475,5880,0
20.189173001,192.168086037,443,51475,598,0
192.168086037,20.189173001,51475,443,114,0
192.168086037,20.189173001,51475,443,1042,0
20.189173001,192.168086037,443,51475,143,0
20.189173001,192.168086037,443,51475,40,0
20.189173001,192.168086037,443,51475,486,0
192.168086037,192.168086001,58079,53,70,0
192.168086001,192.168086037,53,58079,173,0
192.168086037,13.071196252,51476,8883,52,0
13.071196252,192.168086037,8883,51476,52,0
192.168086037,13.071196252,51476,8883,40,0
192.168086037,13.071196252,51476,8883,252,0
13.071196252,192.168086037,8883,51476,40,0
13.071196252,192.168086037,8883,51476,2960,0
13.071196252,192.168086037,8883,51476,667,0
192.168086037,13.071196252,51476,8883,140,0
13.071196252,192.168086037,8883,51476,91,0
192.168086037,13.071196252,51476,8883,508,0
13.071196252,192.168086037,8883,51476,73,0
192.168086037,13.071196252,51476,8883,114,0
192.168086037,13.071196252,51476,8883,94,0
13.071196252,192.168086037,8883,51476,108,0
192.168086037,13.071196252,51476,8883,115,0
0.000000000,255.255255255,68,67,272,0
192.168086037,20.010031115,49409,443,143,0
20.010031115,192.168086037,443,49409,213,0
192.168086001,224.000000251,5353,5353,72,0
192.168086037,192.168086001,58464,53,70,0
192.168086001,192.168086037,53,58464,173,0
192.168086037,13.071196252,51477,8883,52,0
13.071196252,192.168086037,8883,51477,52,0
192.168086037,13.071196252,51477,8883,40,0
192.168086001,192.168086037,53,55171,229,0
192.168086037,23.200156207,51478,80,52,0
23.200156207,192.168086037,80,51478,52,0
192.168086037,23.200156207,51478,80,40,0
192.168086037,23.200156207,51478,80,194,0
23.200156207,192.168086037,80,51478,40,0
23.200156207,192.168086037,80,51478,227,0
192.168086037,192.168086001,62709,53,77,0
192.168086001,192.168086037,53,62709,213,0
192.168086037,40.119249228,51479,443,52,0
192.168086037,192.168086001,62709,53,70,0
40.119249228,192.168086037,443,51479,52,0
192.168086037,40.119249228,51479,443,40,0
192.168086037,40.119249228,51479,443,254,0
192.168086001,192.168086037,53,62709,173,0
192.168086037,13.071196252,51480,8883,52,0
13.071196252,192.168086037,8883,51480,52,0
192.168086037,13.071196252,51480,8883,40,0
192.168086037,13.071196252,51480,8883,321,0
192.168086037,40.119249228,51481,443,52,0
13.071196252,192.168086037,8883,51480,40,0
13.071196252,192.168086037,8883,51480,2960,0
13.071196252,192.168086037,8883,51480,667,0
192.168086037,13.071196252,51480,8883,140,0
13.071196252,192.168086037,8883,51480,91,0
192.168086037,13.071196252,51480,8883,506,0
40.119249228,192.168086037,443,51479,1500,0
40.119249228,192.168086037,443,51479,878,0
192.168086037,40.119249228,51479,443,198,0
13.071196252,192.168086037,8883,51480,73,0
192.168086037,13.071196252,51480,8883,114,0
192.168086037,13.071196252,51480,8883,94,0
13.071196252,192.168086037,8883,51480,108,0
192.168086037,13.071196252,51480,8883,115,0
40.119249228,192.168086037,443,51481,52,0
192.168086037,40.119249228,51481,443,40,0
192.168086037,40.119249228,51481,443,254,0
40.119249228,192.168086037,443,51479,91,0
40.119249228,192.168086037,443,51479,109,0
192.168086037,40.119249228,51479,443,127,0
192.168086037,40.119249228,51479,443,1046,0
192.168086037,40.119249228,51479,443,78,0
40.119249228,192.168086037,443,51481,1500,0
40.119249228,192.168086037,443,51481,878,0
192.168086037,40.119249228,51481,443,198,0
40.119249228,192.168086037,443,51479,40,0
40.119249228,192.168086037,443,51479,78,0
40.119249228,192.168086037,443,51481,91,0
40.119249228,192.168086037,443,51481,109,0
192.168086037,40.119249228,51481,443,127,0
192.168086037,40.119249228,51481,443,763,0
192.168086037,40.119249228,51481,443,78,0
40.119249228,192.168086037,443,51479,404,0
40.119249228,192.168086037,443,51481,78,0
40.119249228,192.168086037,443,51481,40,0
40.119249228,192.168086037,443,51479,82,0
40.119249228,192.168086037,443,51481,438,0
192.168086037,192.168086001,62709,53,72,0
192.168086001,192.168086037,53,62709,160,0
192.168086037,4.245163056,51482,443,52,0
40.119249228,192.168086037,443,51481,82,0
4.245163056,192.168086037,443,51482,52,0
192.168086037,4.245163056,51482,443,40,0
192.168086037,4.245163056,51482,443,249,0
192.168086037,40.119249228,51483,443,52,0
4.245163056,192.168086037,443,51482,1500,0
4.245163056,192.168086037,443,51482,1077,0
192.168086037,4.245163056,51482,443,198,0
4.245163056,192.168086037,443,51482,91,0
4.245163056,192.168086037,443,51482,109,0
192.168086037,4.245163056,51482,443,127,0
192.168086037,4.245163056,51482,443,315,0
192.168086037,4.245163056,51482,443,78,0
4.245163056,192.168086037,443,51482,40,0
4.245163056,192.168086037,443,51482,78,0
40.119249228,192.168086037,443,51483,52,0
192.168086037,40.119249228,51483,443,40,0
