src_ip,dst_ip,src_port,dst_port,frame_length,label
192.168000001,192.168000168,53,61027,217,0
192.168000168,192.168000001,51847,53,57,0
192.168000168,192.168000001,58911,53,66,0
34.120208123,192.168000168,443,49258,664,0
34.120208123,192.168000168,443,49258,71,0
192.168000168,34.120208123,49258,443,64,0
192.168000001,192.168000168,53,51847,217,0
192.168000168,192.168000001,63070,53,57,0
192.168000001,192.168000168,53,58911,82,0
192.168000168,192.168000001,64619,53,66,0
192.168000001,192.168000168,53,63070,169,0
192.168000001,192.168000168,53,64619,94,0
34.120208123,192.168000168,443,49257,496,0
34.120208123,192.168000168,443,49257,121,0
192.168000168,34.120208123,49257,443,86,0
34.120208123,192.168000168,443,49257,253,0
192.168000168,192.168000001,49199,53,66,0
192.168000168,192.168000001,61167,53,57,0
192.168000001,192.168000168,53,49199,82,0
192.168000168,192.168000001,57658,53,66,0
192.168000001,192.168000168,53,61167,217,0
192.168000168,192.168000001,57759,53,57,0
192.168000168,64.233176119,57659,443,1385,0
192.168000001,192.168000168,53,57658,82,0
64.233176119,192.168000168,443,57659,1385,0
192.168000168,64.233176119,57659,443,68,0
192.168000168,64.233176119,57659,443,70,0
192.168000001,192.168000168,53,57759,217,0
64.233176119,192.168000168,443,57659,750,0
192.168000168,64.233176119,57659,443,71,0
192.168000168,64.233176119,49259,443,52,0
192.168000168,64.233176119,57659,443,136,0
192.168000168,64.233176119,57659,443,98,0
192.168000168,64.233176119,57659,443,262,0
64.233176119,192.168000168,443,49259,52,0
192.168000168,64.233176119,49259,443,40,0
192.168000168,64.233176119,49259,443,557,0
64.233176119,192.168000168,443,57659,644,0
64.233176119,192.168000168,443,57659,152,0
192.168000168,64.233176119,57659,443,59,0
64.233176119,192.168000168,443,57659,174,0
64.233176119,192.168000168,443,49259,40,0
64.233176119,192.168000168,443,49259,1452,0
64.233176119,192.168000168,443,49259,365,0
192.168000168,64.233176119,49259,443,104,0
192.168000168,64.233176119,49259,443,210,0
192.168000168,64.233176119,57659,443,60,0
64.233176119,192.168000168,443,49259,660,0
192.168000168,64.233176119,49259,443,71,0
64.233176119,192.168000168,443,49259,71,0
64.233176119,192.168000168,443,57659,55,0
192.168000168,192.168000001,50721,53,73,0
192.168000168,172.253124136,53540,443,591,0
192.168000168,172.253124136,53540,443,622,0
192.168000001,192.168000168,53,50721,89,0
192.168000168,172.217215095,49260,443,52,0
