172.217.215.95,192.168.0.168,443,49262,108
172.217.215.95,192.168.0.168,443,49262,71
192.168.0.168,172.217.215.95,49262,443,124
192.168.0.168,172.217.215.95,49262,443,71
172.217.215.95,192.168.0.168,443,49262,260
172.217.215.95,192.168.0.168,443,49262,331
172.217.215.95,192.168.0.168,443,49262,88
192.168.0.168,172.217.215.95,49262,443,79
192.168.0.168,172.217.215.95,49262,443,64
192.168.0.1,192.168.0.168,53,49309,120
192.168.0.168,192.168.0.1,60748,53,80
192.168.0.1,192.168.0.168,53,60748,96
192.168.0.168,192.168.0.1,52818,53,80
192.168.0.1,192.168.0.168,53,52818,108
192.168.0.168,172.253.124.136,53540,443,1067
192.168.0.168,172.217.215.132,49263,443,52
192.168.0.168,64.233.176.119,57659,443,326
192.168.0.168,64.233.176.119,57659,443,567
192.168.0.168,64.233.176.119,57659,443,310
192.168.0.168,172.217.215.132,49264,443,52
192.168.0.168,172.217.215.132,49265,443,52
192.168.0.168,172.217.215.132,49266,443,52
172.217.215.132,192.168.0.168,443,49263,52
192.168.0.168,172.217.215.132,49263,443,40
192.168.0.168,172.217.215.132,49263,443,557
172.217.215.132,192.168.0.168,443,49264,52
192.168.0.168,172.217.215.132,49264,443,40
192.168.0.168,172.217.215.132,49264,443,557
172.217.215.132,192.168.0.168,443,49266,52
192.168.0.168,172.217.215.132,49266,443,40
172.217.215.132,192.168.0.168,443,49265,52
192.168.0.168,172.217.215.132,49265,443,40
192.168.0.168,172.217.215.132,49266,443,557
64.233.176.119,192.168.0.168,443,57659,60
192.168.0.168,172.217.215.132,49265,443,557
64.233.176.119,192.168.0.168,443,57659,1381
192.168.0.168,64.233.176.119,57659,443,64
172.217.215.132,192.168.0.168,443,49263,40
172.217.215.132,192.168.0.168,443,49263,1452
172.217.215.132,192.168.0.168,443,49263,762
192.168.0.168,172.253.124.136,53540,443,62
192.168.0.168,64.233.176.119,57659,443,65
172.217.215.132,192.168.0.168,443,49264,40
172.217.215.132,192.168.0.168,443,49264,1452
172.217.215.132,192.168.0.168,443,49265,40
172.217.215.132,192.168.0.168,443,49264,764
172.217.215.132,192.168.0.168,443,49266,40
172.217.215.132,192.168.0.168,443,49266,1452
172.217.215.132,192.168.0.168,443,49266,764
172.217.215.132,192.168.0.168,443,49265,1452
172.217.215.132,192.168.0.168,443,49265,763
192.168.0.168,192.168.0.1,56549,53,56
192.168.0.168,64.233.176.119,57659,443,61
192.168.0.168,172.217.215.132,49263,443,104
192.168.0.168,172.217.215.132,49263,443,210
192.168.0.168,172.217.215.132,49263,443,381
192.168.0.1,192.168.0.168,53,56549,107
192.168.0.168,192.168.0.1,59934,53,56
192.168.0.168,172.217.215.94,49267,80,52
192.168.0.168,172.217.215.94,49268,80,52
192.168.0.168,172.217.215.94,49269,80,52
172.217.215.94,192.168.0.168,80,49268,52
192.168.0.168,172.217.215.94,49268,80,40
192.168.0.168,172.217.215.94,49268,80,461
172.217.215.94,192.168.0.168,80,49267,52
192.168.0.168,172.217.215.94,49267,80,40
172.217.215.94,192.168.0.168,80,49269,52
172.217.215.132,192.168.0.168,443,49263,660
192.168.0.168,172.217.215.94,49269,80,40
192.168.0.168,172.217.215.94,49267,80,461
172.217.215.132,192.168.0.168,443,49263,71
172.217.215.132,192.168.0.168,443,49263,359
192.168.0.168,172.217.215.132,49263,443,71
192.168.0.168,172.217.215.132,49264,443,104
172.217.215.132,192.168.0.168,443,49263,1012
192.168.0.168,172.217.215.132,49264,443,227
192.168.0.168,172.217.215.132,49263,443,170
172.217.215.132,192.168.0.168,443,49263,79
192.168.0.1,192.168.0.168,53,59934,107
192.168.0.168,172.217.215.132,49263,443,79
192.168.0.168,172.217.215.132,59935,443,1385
64.233.176.119,192.168.0.168,443,57659,1196
172.253.124.136,192.168.0.168,443,53540,133
172.253.124.136,192.168.0.168,443,53540,206
64.233.176.119,192.168.0.168,443,57659,968
64.233.176.119,192.168.0.168,443,57659,342
172.217.215.94,192.168.0.168,80,49268,40
172.217.215.94,192.168.0.168,80,49267,40
172.217.215.94,192.168.0.168,80,49268,741
172.217.215.132,192.168.0.168,443,49264,660
192.168.0.168,172.217.215.132,49264,443,64
192.168.0.168,172.217.215.132,49266,443,104
192.168.0.168,172.217.215.132,49266,443,227
192.168.0.168,172.217.215.132,49263,443,183
172.217.215.132,192.168.0.168,443,49264,71
172.217.215.94,192.168.0.168,80,49267,741
172.217.215.132,192.168.0.168,443,59935,1385
192.168.0.168,172.217.215.132,59935,443,68
192.168.0.168,172.217.215.132,59935,443,70
172.217.215.132,192.168.0.168,443,49263,199
172.217.215.132,192.168.0.168,443,49263,1276
192.168.0.168,172.217.215.132,49265,443,104
192.168.0.168,172.217.215.132,49265,443,227
192.168.0.168,172.217.215.132,49263,443,182
172.217.215.132,192.168.0.168,443,49266,660
172.217.215.132,192.168.0.168,443,49266,71
192.168.0.168,172.217.215.132,49266,443,64
172.217.215.132,192.168.0.168,443,59935,1376
172.217.215.132,192.168.0.168,443,59935,97
192.168.0.168,172.217.215.132,59935,443,71
172.217.215.132,192.168.0.168,443,49263,115
192.168.0.168,172.217.215.132,59935,443,136
192.168.0.168,172.217.215.132,59935,443,99
172.217.215.132,192.168.0.168,443,49263,1304
172.217.215.132,192.168.0.168,443,49265,660
192.168.0.168,172.217.215.132,49265,443,64
172.217.215.132,192.168.0.168,443,49265,71
192.168.0.168,35.244.181.201,49221,443,71
172.217.215.132,192.168.0.168,443,49263,143
172.217.215.132,192.168.0.168,443,59935,643
172.217.215.132,192.168.0.168,443,59935,152
192.168.0.168,172.217.215.132,59935,443,59
172.217.215.132,192.168.0.168,443,49263,145
192.168.0.168,172.217.215.132,49263,443,64
35.244.181.201,192.168.0.168,443,49221,52
172.217.215.132,192.168.0.168,443,59935,55
192.168.0.168,172.253.124.136,53540,443,643
172.253.124.136,192.168.0.168,443,53540,1138
